Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
460860,DONGKUK STEEL,10950,-490,-4.28,11560,11570,10660,429944,4676118210,5.43208E+11,49608017
23450,DONGNAMCHEMICAL,28900,0,0,28900,29550,28000,3559,101490575,1.0115E+11,3500000
26960,DONGSUH,24550,-300,-1.21,24850,24900,24300,102911,2521200850,2.44764E+12,99700000
102260,DONGSUNG CHEMICAL,3885,-110,-2.75,3995,4050,3860,209720,822818100,1.96851E+11,50669591
18500,DONGWON METAL,1530,-59,-3.71,1589,1603,1500,282784,431978308,71535047490,46754933
84670,DONGYANG EXPRESS,36300,-1500,-3.97,37650,39250,35900,120445,4450044425,1.05109E+11,2895569
150,DOOSAN,1972000,312000,18.8,1726000,2012000,1689000,232697,4.39805E+11,3.19342E+13,16193835
155,DOOSAN(1P),659000,75000,12.84,593000,660000,568000,48210,29942258000,2.63367E+12,3996462
157,DOOSAN(2PB),535000,48000,9.86,503000,537000,477500,3199,1643057500,4.77775E+11,893038
12510,DOUZONE BIZON,120000,0,0,120300,121300,120000,30683,3686108050,3.49487E+12,29123883
4840,DRB Holding,4530,-255,-5.33,4785,4785,4520,38382,175155057,87303808920,19272364
163560,DRB Industrial,6620,-120,-1.78,6710,6900,6600,30501,202792760,92018000000,13900000
192650,DREAMTECH,4945,-95,-1.88,5050,5110,4865,251284,1235825112,3.41077E+11,68974199
17860,DS Dansuk,17980,-1010,-5.32,18830,18950,17860,135682,2472184655,3.19309E+11,17759139
155660,DSR,4145,-60,-1.43,4180,4180,4075,27452,113000755,66320000000,16000000
69730,DSRWIRE,5130,-100,-1.91,5260,5380,5120,41365,213908635,73872000000,14400000
16740,DUAL,4580,-145,-3.07,4725,4725,4500,175030,800188746,1.31327E+11,28674024
47040,DWEC,26200,750,2.95,26500,27250,24850,15513424,4.05122E+11,1.07658E+13,410907638
14820,DWS,21950,-500,-2.23,22450,22450,21700,38232,840881425,6.36359E+11,28991282
14825,DWS(1P),15260,-840,-5.22,16280,16280,15260,535,8458680,4030333860,264111
13570,DY,3970,-140,-3.41,4115,4255,3970,131859,528920684,1.04489E+11,26319633
24900,DY DEOKYANG,1809,-75,-3.98,1886,1914,1807,168781,309265375,58910048820,32564980
210540,DY POWER,12960,-200,-1.52,13250,13290,12780,42090,543096215,1.43101E+11,11041708
2880,DYA,795,-5,-0.63,800,810,781,83318,66156932,37185326025,46773995
92780,DYP,5050,-120,-2.32,5240,5250,5010,73462,375458195,66500723000,13168460
15230,DaechangForging,6130,-90,-1.45,6220,6280,6040,66805,407765295,1.6639E+11,27143620
35320K,DaeduckElectro(1P),39200,2300,6.23,37900,40500,35600,162007,6222221600,82144344800,2095519
353200,DaeduckElectronics,190900,26100,15.84,169900,193500,168700,2361180,4.36732E+11,9.43369E+12,49416925
6370,DaeguDptStr,5150,-250,-4.63,5400,5540,5050,43913,228030500,55731296650,10821611
84010,Daehan Steel,9170,-160,-1.71,9410,9460,9150,22412,207250975,3.15188E+11,34371596
1130,DaehanFlrMill,11640,-180,-1.52,11710,11930,11630,28074,328782990,1.96716E+11,16900000
3830,DaehanSynthFibr,113000,-600,-0.53,113600,115200,111600,451,50821950,1.50064E+11,1328000
16090,Daehyun,1612,-1,-0.06,1610,1627,1598,120784,194273145,71383083720,44282310
6570,DaelimTrdg,1814,-96,-5.03,1908,1908,1814,27952,51751574,27618150000,15225000
1680,Daesang,19250,150,0.79,19030,19330,18970,123153,2359762540,6.66974E+11,34648025
84690,Daesang Holdings,9290,-120,-1.28,9320,9440,9170,68936,637853710,3.36414E+11,36212538
84695,Daesang Holdings(1P),13610,-90,-0.66,13790,13900,13410,13805,187410510,12432490020,913482
1685,Daesang(1P),15430,-180,-1.15,15610,15610,15110,7010,107487735,21142540890,1370223
6340,DaewonCbl,11940,-420,-3.4,12580,12600,11600,4319525,51347733070,9.36268E+11,78414416
6345,DaewonCbl(1P),13900,-1060,-7.09,15700,15700,13500,325926,4566543400,36434680000,2621200
24890,DaewonChem,3195,-375,-10.5,3625,3625,2940,64865,206895544,26358206850,8249830
430,DaewonKangup,4710,-45,-0.95,4775,4870,4540,381144,1804553325,2.9202E+11,62000000
3220,Daewonpharm,8730,-240,-2.68,8980,9070,8620,22315,195737850,1.95793E+11,22427583
3090,Daewoong,18840,-160,-0.84,19100,19230,18470,81403,1523518140,1.09539E+12,58141980
14160,DaeyoungPkg,920,-11,-1.18,920,952,918,1215036,1124151084,99722985080,108394549
0030R0,Daishin Value REIT,4180,5,0.12,4150,4180,4085,28505,117545692,2.4988E+11,59780000
3540,DaishinSecu,30600,-600,-1.92,31350,31600,30050,124009,3773980625,1.50612E+12,49219763
3545,DaishinSecu(1P),20700,-50,-0.24,20650,21000,20400,100867,2080057025,5.21468E+11,25191667
9190,DaiyangMtl,2315,305,15.17,2015,2470,2015,6303744,14576832873,99990926875,43192625
30210,Daol SEC,3720,-80,-2.11,3805,3810,3700,141280,527498958,2.26589E+11,60911106
23590,DaouTech,39550,-350,-0.88,40500,40500,38450,98996,3866429850,1.71201E+12,43287312
28100,Dong Ah E&C,14610,-490,-3.25,15040,15100,14510,32929,483410290,1.95621E+11,13389502
